Appliances	dT_out6	dT_kitchen	dRH_kitchen	dT_living	dT_laundry
176.6667	-0.4067	0.0078	-0.6238	0.0689	-0.0200
173.3333	-0.3226	0.5978	6.9265	0.6567	0.2822
125.0000	-0.3879	0.4656	-4.3522	0.3256	0.1617
103.3333	0.1094	0.3506	-2.6850	0.3367	0.1594
266.6667	0.2511	0.2606	-1.1050	0.3178	0.0961
56.6667	-0.0911	-0.0406	-0.3922	0.0289	-0.1515
141.6667	-0.2756	-0.2656	0.6894	-0.2972	-0.1735
168.3333	-0.6533	-0.3025	0.6526	-0.3039	-0.0111
45.0000	-0.5594	-0.2669	0.5846	-0.2667	0.0375
35.0000	-0.2397	-0.2344	0.0422	-0.2744	0.0592
45.0000	0.6858	-0.2328	0.2436	-0.1922	0.0550
43.3333	0.1022	-0.1906	-0.1447	-0.1856	0.0383
40.0000	0.1935	-0.1428	0.1744	-0.1514	-0.0222
56.6667	-0.0313	-0.0894	0.6986	-0.1005	-0.1567
86.6667	-0.0444	0.0500	1.3869	-0.1088	-0.0139
43.3333	-0.7721	-0.0756	-2.3033	-0.0659	-0.0583
230.0000	0.8743	0.0022	0.8611	-0.0256	-0.1456
55.0000	0.9486	0.1983	-1.0006	0.1350	0.0153
186.6667	0.9058	0.0906	-0.6711	0.1028	0.0214
151.6667	0.6561	0.0000	0.2717	-0.0833	-0.0733
136.6667	-0.2219	-0.0722	-1.4886	-0.0444	0.0092
36.6667	-0.5519	-0.0011	-0.3269	-0.0400	-0.0092
40.0000	-0.2833	0.1011	-0.4900	0.0697	-0.0278
218.3333	-0.4961	-0.0778	-0.5085	-0.1566	-0.0333
58.3333	-0.9617	0.0167	1.0274	0.0688	-0.0056
55.0000	-0.1600	0.0500	-0.0294	0.3558	-0.0333
51.6667	-0.3856	-0.0733	-0.6547	-0.0722	0.0000
41.6667	-0.0178	-0.1700	-0.5703	-0.1904	-0.0250
46.6667	0.6226	-0.1689	0.0822	-0.1590	-0.0300
43.3333	0.5274	-0.1544	0.2897	-0.1412	0.0717
31.6667	0.1700	-0.1261	0.1981	-0.1219	0.0722
48.3333	-0.3222	-0.1006	0.2822	-0.1204	-0.0444
45.0000	0.0800	-0.0806	0.2278	-0.0676	0.0678
31.6667	0.1856	-0.1150	0.2233	-0.0868	-0.0400
45.0000	0.0317	-0.0889	0.0733	-0.1003	-0.0111
41.6667	-0.2833	-0.1089	0.1278	-0.0754	0.0572
66.6667	0.1022	-0.0331	0.5297	-0.0423	-0.1147
63.3333	0.0250	-0.0625	-0.1469	-0.0924	-0.2714
208.3333	-0.0722	-0.0167	-0.5989	-0.1000	-0.0711
220.0000	0.0422	0.2396	0.3374	0.2967	0.0061
66.6667	0.1283	0.1904	-0.0813	0.3894	0.0000
60.0000	0.4700	0.0300	0.8378	0.0178	-0.0600
41.6667	0.6686	-0.0667	-1.5067	-0.1706	-0.0047
35.0000	0.2031	-0.1222	-1.7133	-0.0944	-0.1125
45.0000	-0.1422	-0.0556	-0.6333	-0.0428	-0.0200
41.6667	0.8861	0.1929	-0.3892	0.1978	0.0411
80.0000	-1.0039	0.1804	-0.1819	0.1811	-0.0111
96.6667	-1.9344	-0.0778	0.0544	-0.0750	0.0000
111.6667	-1.5611	-0.0211	0.0567	0.0000	-0.0650
213.3333	-1.1456	0.0822	0.9456	0.1344	0.0350
248.3333	-0.4844	0.1706	-0.2739	0.1989	-0.0600
313.3333	-0.3014	0.0672	0.1894	0.0889	0.1867
131.6667	0.0264	-0.0333	0.4453	-0.1006	1.4594
41.6667	0.5111	-0.1744	0.0236	-0.2078	-0.2722
46.6667	-0.3383	-0.1733	-0.0344	-0.2028	-0.3489
36.6667	0.3956	-0.1689	-0.0100	-0.1722	-0.2161
43.3333	0.6186	-0.1461	0.0750	-0.1789	-0.1522
45.0000	0.4375	-0.1489	0.0900	-0.1211	-0.0667
35.0000	0.0511	-0.0939	0.0550	-0.1000	-0.0712
45.0000	0.0794	-0.1056	0.1200	-0.1183	0.0062
40.0000	0.6056	-0.1167	0.1200	-0.1056	0.0650
226.6667	0.0722	-0.0489	0.9521	-0.0250	-0.1206
160.0000	-0.1250	0.0000	0.1640	-0.0800	-0.2528
168.3333	-1.2367	0.1072	-0.3172	0.2669	-0.1678
538.3333	-0.0733	0.2478	0.2172	0.4847	0.2494
238.3333	0.5406	0.4401	0.0278	0.5278	1.8517
283.3333	0.5689	0.9682	1.4750	0.7682	0.4867
70.0000	0.5351	0.9222	-1.9511	0.5468	0.3503
130.0000	1.0993	0.2728	-2.0192	0.3267	-0.5447
51.6667	0.1794	0.2239	-0.9319	0.3847	-0.2389
308.3333	-0.0146	-0.1217	-0.2456	-0.1108	-0.1643
405.0000	-0.5349	0.3608	4.5178	0.2722	0.9921
216.6667	-0.1871	0.3219	-3.0567	0.4894	0.0811
231.6667	-0.4801	0.3278	2.8444	0.0739	-0.2400
110.0000	0.0283	0.2589	-0.6639	0.0211	-0.0722
116.6667	-0.1419	0.0450	-1.6372	0.0511	-0.1311
48.3333	-0.6414	0.3406	-1.3600	0.4003	-0.2267
38.3333	-1.5433	0.4372	-0.6928	0.4847	-0.2728
53.3333	-0.6361	0.1817	-0.4017	0.0922	-0.1694
51.6667	-0.5783	-0.0156	-0.3689	-0.0300	0.0000
46.6667	0.4261	-0.2356	0.0667	-0.2239	0.0000
43.3333	0.5183	-0.3144	0.3039	-0.3611	0.0500
50.0000	0.4389	-0.3544	0.0494	-0.3750	0.0400
50.0000	0.3169	-0.3372	0.0250	-0.3336	0.0000
45.0000	0.1664	-0.2967	0.1817	-0.2697	0.0000
51.6667	0.0111	-0.2783	0.3740	-0.2689	-0.0761
235.0000	0.0367	-0.7522	-5.7307	-1.3294	-1.3422
206.6667	0.1411	-0.3600	1.6322	0.2306	0.2950
125.0000	0.3900	0.1161	1.9072	0.3567	0.1478
125.0000	0.7942	0.0611	0.6189	0.1656	0.1489
210.0000	0.6081	0.0044	0.6728	0.1497	0.0572
196.6667	0.3653	0.2889	-0.1875	0.4324	0.0017
63.3333	0.4114	0.2817	-0.0914	0.2898	0.0667
56.6667	-0.1233	0.3856	-0.5778	0.2871	0.2050
56.6667	-0.8858	0.3856	-0.3135	0.3420	0.3506
98.3333	-2.0364	0.0867	-0.2110	0.0341	0.0556
278.3333	0.2817	0.0183	2.1467	0.0147	0.0956
220.0000	-0.1878	0.1528	5.2178	0.0990	0.0789
233.3333	0.0172	0.1911	-4.2578	0.0979	-0.1244
230.0000	-0.7678	0.4033	-1.2589	0.3165	0.0300
218.3333	0.8742	0.0644	-0.5200	0.0122	-0.0711
63.3333	-0.1197	-0.1033	0.5278	-0.1122	-0.1200
40.0000	-0.1828	-0.2633	0.4772	-0.2856	-0.1072
53.3333	0.0839	-0.2422	0.1550	-0.2617	-0.0972
46.6667	-0.2889	-0.2417	-0.0750	-0.2989	-0.1394
41.6667	-1.2250	-0.2472	-0.1450	-0.2604	-0.1561
50.0000	-1.1417	-0.2533	-0.1033	-0.2457	-0.0889
40.0000	0.0333	-0.2033	-0.0789	-0.2122	0.0222
51.6667	0.7458	-0.2383	0.0275	-0.1764	0.0222
246.6667	0.5597	-0.1922	0.0308	-0.1878	0.0944
140.0000	0.3083	0.1561	0.8789	0.1986	0.0756
61.6667	0.3928	0.3242	0.6597	0.4267	-0.0050
71.6667	0.1917	0.2236	-0.4903	0.3033	0.0917
53.3333	0.7351	0.1944	0.0678	0.2078	0.1978
75.0000	1.0888	-0.0153	0.0103	-0.0111	0.0678
86.6667	0.6456	-0.1608	-1.5825	-0.4111	-0.0911
71.6667	0.5317	-0.0672	-0.0139	-0.0561	-0.0306
208.3333	-0.7033	-0.0961	-0.3578	-0.1967	-0.1272
75.0000	-0.4328	-0.2022	-0.5739	-0.1806	-0.0628
265.0000	-1.2489	-0.1883	-0.1833	-0.2044	-0.0994
473.3333	-0.9789	0.1356	1.4367	0.1993	0.0000
391.6667	-0.8550	1.3308	2.1156	1.1220	1.1688
118.3333	0.0528	0.4203	-2.1961	0.3249	0.8157
120.0000	0.4944	-0.0150	-1.0800	0.0250	-0.4117
170.0000	0.1231	-0.2044	-0.3792	-0.1022	-0.4117
55.0000	-0.3786	-0.3428	0.7797	-0.3022	-0.2944
46.6667	-0.3264	-0.3678	0.3356	-0.3294	-0.1200
51.6667	-0.0569	-0.3056	0.2578	-0.2622	-0.0122
43.3333	0.4944	-0.2703	0.1363	-0.2444	-0.0056
50.0000	0.0278	-0.2286	0.1632	-0.2000	-0.0944
51.6667	0.1278	-0.2094	0.1478	-0.1828	-0.0400
43.3333	-0.2889	-0.1911	0.1667	-0.1756	-0.0150
45.0000	-0.0361	-0.1794	0.1528	-0.1522	-0.0683
348.3333	-0.4306	-0.1522	0.3222	-0.1433	-0.0667
