Oil	CPI	Rate	SP500
-39.4190	-0.2741	-0.4900	5.2397
-20.3766	-0.4585	-0.9200	5.7133
1.8075	-0.1840	-0.4800	2.4241
18.0503	0.2759	0.4100	0.2099
-13.5577	0.5495	0.0900	2.8113
-14.7348	0.0000	-0.5000	-2.1010
26.4552	0.1825	-0.1300	1.9786
-1.5349	0.4548	0.2800	-2.7728
0.2015	0.0907	-0.0200	-0.3784
2.1249	0.0906	-0.1800	3.1920
5.6830	0.0905	-0.1400	1.4179
14.6406	0.6315	-0.0300	6.1996
-4.9461	0.3591	0.1700	6.0157
3.0516	0.4470	0.0000	4.0466
2.0552	0.5338	0.7700	-1.1000
3.9879	0.3543	0.5900	-0.0692
3.1893	0.3530	-0.2100	4.1666
6.1357	0.2640	0.0500	2.8457
-4.9470	0.5259	0.3100	6.0378
-3.9162	0.5231	0.6600	-3.3023
1.6756	0.2605	0.1000	-12.8747
-5.2195	0.0867	-0.6600	-13.4245
-8.6963	0.0000	0.1300	-1.6461
-0.8718	0.2596	-0.3200	3.8662
-1.9452	0.2590	-0.4600	2.9888
-3.6368	0.4301	0.1600	2.9021
9.7552	0.5137	0.3500	-1.1736
-2.4945	0.3410	0.3700	-2.5064
-5.2442	0.4246	-0.1700	5.5443
-6.4337	0.4228	0.1400	-0.5928
0.1289	0.4211	0.2000	-2.0271
-6.5226	0.6700	-0.2800	1.6175
-5.4411	0.3333	-0.1800	3.4474
2.6515	0.0832	0.1600	-2.3342
14.7053	0.1661	0.1500	2.0092
9.5421	0.4967	-0.0200	3.1681
-0.4449	0.4120	0.0800	2.9688
8.2355	0.5740	0.1900	-0.4432
7.8462	0.6520	-0.1800	3.2272
-4.6136	0.5670	-0.3200	3.7655
-0.3485	0.2420	-0.5800	3.0743
-1.3558	0.2414	-0.2600	2.5017
-6.2586	0.1606	0.0900	4.3338
5.2933	0.3205	0.0800	0.2018
2.5701	0.4789	-0.1800	0.0288
-1.2012	0.2386	-0.1400	-2.0943
6.0565	0.1587	-0.0300	2.4391
8.0116	1.0257	0.3700	-2.5068
-3.3359	0.4699	0.2600	-2.8402
-8.0985	0.5454	0.1200	2.3951
-10.1065	0.1553	0.2000	-0.0828
-1.2558	0.2325	-0.0300	3.5069
-8.6013	0.5403	-0.2800	2.8540
9.9656	0.3842	-0.0100	-0.0999
39.2189	0.9160	0.2800	-8.4825
20.4591	0.8324	0.1400	-4.7489
7.2786	0.6011	-0.1700	-2.6635
-10.8634	0.2245	-0.3300	2.6254
-16.9842	0.0000	-0.3100	4.1805
-7.8120	0.5961	0.0100	-0.9966
-20.8585	0.1485	-0.2400	10.7030
-2.8729	0.1483	0.2600	2.7284
4.5675	0.1480	-0.0700	1.9683
1.9021	0.2954	0.0300	-0.4461
-5.0228	0.2946	0.2100	0.0793
5.8203	0.1470	-0.0100	0.5115
1.3460	0.2933	-0.3700	2.3831
