Time	Pump	Flow	Press	Temp1	Temp2	Vib
1	1492.4427	69.7765	9.3573	94.0899	85.2099	0.1285
2	1505.2928	70.0320	9.4380	94.1480	84.8207	0.2239
3	1526.5489	70.9092	9.4213	94.2399	84.9178	0.2951
4	1536.5068	70.7553	9.3849	94.4871	84.8556	0.2812
5	1558.9104	71.0759	9.3711	94.1305	85.2394	0.2170
6	1558.3432	71.5077	9.3645	94.4976	85.0604	0.1056
7	1582.9572	72.8413	9.4206	94.0204	85.0726	0.0076
8	1608.7674	73.5184	9.5069	94.3189	84.8826	-0.1583
9	1619.2099	74.4227	9.5348	94.7755	85.0955	-0.1026
10	1642.6192	75.2263	9.6218	94.6292	85.6219	-0.0271
11	1632.2279	76.1308	9.8112	95.2720	85.7674	0.1671
12	1645.1748	76.9808	9.8605	95.7944	85.7771	0.2105
13	1652.1799	77.7559	9.9196	96.1017	85.7442	0.3328
14	1658.3045	77.6308	10.0177	96.7428	85.5804	0.3176
15	1670.2509	77.7885	10.0831	97.3077	85.4572	0.1789
16	1676.5780	78.0533	10.1755	97.7178	85.5691	-0.0123
17	1683.6874	78.8720	10.3547	98.3112	85.6416	-0.0916
18	1705.6016	78.9064	10.3688	98.4685	86.3033	-0.2101
19	1721.7127	79.5266	10.4219	99.0665	86.6264	-0.2666
20	1741.3214	80.0850	10.4559	99.5849	87.0620	-0.1361
21	1743.4108	81.5353	10.6002	99.9810	88.0093	-0.0319
22	1752.4285	82.7563	10.6247	100.6349	88.5320	0.2032
23	1772.6688	82.8361	10.6736	100.9288	88.7534	0.2171
24	1780.6321	83.0262	10.7811	101.8141	88.8676	0.3134
25	1791.6183	83.6670	10.8524	103.1113	89.7667	0.2949
26	1794.3488	84.0037	10.8014	103.1782	90.9358	0.1789
27	1797.8676	84.1331	11.0003	103.5274	91.4576	0.0657
28	1805.8582	85.0586	11.0705	104.5471	91.7115	0.0496
29	1803.0098	85.1876	11.2235	105.7535	92.3512	-0.0867
30	1822.6906	86.2307	11.2512	106.5880	92.6434	0.0596
31	1816.6491	86.3650	11.3998	107.4774	93.3056	0.1926
32	1798.4819	85.9928	11.3777	108.7919	94.3056	0.3995
33	1816.5996	85.4240	11.3021	109.7095	94.7917	0.5747
34	1820.0969	85.7855	11.3034	110.1330	95.6278	0.4432
35	1827.5373	86.6298	11.4201	110.6421	96.4071	0.3977
36	1830.3196	86.2220	11.4617	111.1908	97.1265	0.3259
37	1838.2320	86.1300	11.4282	112.0078	97.8566	0.1425
38	1833.7871	86.1867	11.3996	112.6751	98.3593	0.0537
39	1846.9293	86.4848	11.4339	112.8999	98.8921	-0.0092
40	1848.0354	86.8687	11.4279	113.0019	99.3451	0.1698
41	1856.6477	87.0857	11.4043	113.8393	99.8303	0.3303
42	1867.5018	87.3062	11.4901	113.6321	100.0988	0.4253
43	1859.8242	87.6553	11.5583	113.8319	100.8474	0.4771
44	1857.6336	88.2557	11.5493	114.2894	101.1219	0.4733
45	1866.0067	88.1647	11.6642	114.3822	101.0721	0.4333
46	1871.1425	88.2759	11.6825	114.6834	101.7376	0.2592
47	1873.8883	89.7164	11.6235	115.2395	101.8281	0.1468
48	1871.1228	89.7153	11.7247	115.5518	102.6069	0.1507
49	1890.4539	89.6291	11.8612	116.2891	102.6001	0.1661
50	1893.0417	89.4028	11.9100	116.7350	103.2110	0.1648
51	1905.3438	89.5787	11.9546	116.6334	103.6781	0.2520
52	1906.2285	90.1500	11.9422	117.1342	103.9181	0.4207
53	1889.5781	89.9330	11.9388	117.8549	104.0298	0.6100
54	1896.0769	90.4956	11.9696	117.6562	104.7699	0.5816
55	1907.9437	90.2910	12.0491	117.5775	104.9653	0.5079
56	1907.4998	90.5148	12.0954	117.9869	104.9489	0.3921
57	1894.3516	91.2714	12.0247	118.6365	104.7549	0.2401
58	1888.6620	91.2856	12.0468	118.8410	105.1254	0.1656
59	1882.6316	90.7039	12.0451	118.9766	105.5815	0.2471
60	1901.4614	90.9479	11.9680	119.4697	105.5199	0.3800
61	1909.9034	91.0074	12.0838	119.4775	105.9554	0.4482
62	1915.8982	91.2175	12.0991	119.5926	106.4153	0.4840
63	1920.8071	91.0071	12.0727	119.0515	106.6735	0.6640
64	1915.0346	90.8504	12.0979	118.4465	106.6865	0.6491
65	1907.2798	91.8646	12.0776	118.8519	106.3626	0.6168
66	1894.8738	91.7566	12.0685	118.7369	105.6288	0.4329
67	1886.5928	91.5135	12.1352	118.3511	106.0634	0.2099
68	1889.1890	91.5170	12.1659	118.4288	105.6175	0.1117
69	1872.4993	91.3381	12.2587	118.8014	106.0421	0.1096
70	1889.7402	90.7488	12.2141	118.9760	106.0650	0.1428
71	1898.3869	90.8723	12.1205	119.5528	106.2310	0.2632
72	1924.1030	91.0369	12.1096	119.7962	106.3601	0.4846
73	1921.1404	91.1343	12.1307	119.6938	106.7999	0.6088
74	1927.8257	90.9747	12.1509	120.5133	106.8039	0.6032
75	1931.0006	90.1682	12.1895	120.7367	107.3346	0.5544
76	1929.3439	90.2738	12.0535	120.6690	107.2614	0.4535
77	1924.7948	91.1019	11.9908	120.5486	107.5912	0.3286
78	1921.7610	91.4996	12.0222	120.8001	107.9016	0.2128
79	1920.5872	90.6225	12.0173	121.2763	108.0114	0.1825
80	1930.2177	91.0370	12.0891	120.8084	108.1694	0.2683
81	1920.1643	90.9092	12.1467	121.0324	108.3570	0.4126
82	1923.3127	91.0993	12.0743	121.3820	108.8265	0.6378
83	1907.9618	91.1480	12.0010	120.7844	108.8902	0.6814
84	1887.8838	91.3834	12.0767	121.0954	108.1418	0.6401
85	1875.7290	91.0572	12.1509	120.8734	108.4560	0.5333
86	1877.4016	91.6609	12.1052	120.7885	108.7822	0.3195
87	1866.6996	91.1321	12.1206	120.6989	108.4643	0.2346
88	1865.5440	90.4709	12.1648	121.2546	108.7546	0.2548
