Time	Oil	Rate	Invest	GDP	Stock
1	71.1450	0.5173	57.0831	42.5547	562.7094
2	70.1234	0.6159	58.8645	41.9600	562.4348
3	71.8604	0.4454	58.1279	42.1989	563.3448
4	74.0118	0.7612	57.1026	42.7626	562.4370
5	72.6533	1.0238	54.5683	42.9198	554.0669
6	70.4188	0.7176	54.0121	42.1198	556.0728
7	67.7682	0.5425	53.6510	42.2455	554.7197
8	68.7058	0.5628	53.9937	41.1920	557.5413
9	73.4940	0.4664	55.6978	41.0489	558.7985
10	72.9762	0.5504	55.6907	41.5424	552.3194
11	73.5934	0.5834	55.0437	42.0163	546.5034
12	72.5929	0.5204	54.0650	41.1806	540.2782
13	67.5188	0.6551	53.7903	40.9943	532.9013
14	72.4094	0.5864	52.5337	40.2842	547.5268
15	76.3640	0.5994	53.4005	38.9427	541.4929
16	81.6116	0.8419	53.8659	38.7938	521.1429
17	77.8754	1.1777	52.0659	39.4978	494.8133
18	72.3049	1.5206	52.5694	39.8640	493.3106
19	69.6962	1.4121	52.1551	40.3182	494.9855
20	72.6924	1.1131	50.4955	39.7241	509.7607
21	73.6524	0.9296	51.3630	38.5439	507.0063
22	74.6547	1.3005	51.8557	38.4976	504.2719
23	74.8459	1.2127	51.2599	38.0504	494.9164
24	75.1377	1.2833	49.1453	37.3284	491.6739
25	67.5654	1.4270	49.3319	36.5216	484.6233
26	71.2552	1.1030	49.7821	36.0964	487.4116
27	74.9826	1.2554	50.4809	36.0212	485.0884
28	76.2680	1.4384	51.4203	35.8834	475.0415
29	77.2776	1.2968	52.8770	36.4459	456.6723
30	77.2345	1.2119	52.2264	37.2994	454.9737
31	76.7010	1.2340	51.9089	37.3236	457.9611
32	76.7025	1.2830	51.9767	37.2129	457.8664
33	73.9866	1.4548	52.0198	38.2958	454.6684
34	74.2618	1.7325	50.3926	38.4512	465.8264
35	68.5671	1.6743	50.7603	36.7566	472.0967
36	68.1696	1.4745	48.8000	37.9330	485.6727
37	71.7486	1.3892	48.2507	37.4186	493.5191
38	66.0628	1.2503	48.9533	36.8140	491.8772
39	64.3585	1.3796	49.6256	35.4436	503.3985
40	66.1390	0.8246	48.8011	35.2814	506.2192
41	63.5024	0.9846	50.1248	34.5879	509.9862
42	63.0016	0.7482	50.9349	34.0342	511.8541
43	62.9880	0.6265	51.4464	33.7706	501.7337
44	64.9803	0.2182	53.8206	33.9423	502.8765
45	63.9089	0.0771	55.9074	35.0902	501.1113
46	64.8718	0.0000	56.7357	34.5670	510.8420
47	65.7597	0.0000	58.2497	34.9501	507.3342
48	65.6417	0.0000	59.4990	35.4086	504.0244
49	64.4923	0.0000	59.5766	36.9492	498.8466
50	61.9251	0.0000	60.5623	38.5576	505.7168
51	64.1827	0.0000	62.6355	38.7974	524.1452
52	63.2651	0.0000	64.4947	40.3297	533.7158
53	64.2693	0.0000	64.9281	40.5716	547.6873
54	64.8320	0.0000	64.9486	41.2193	553.8580
55	64.7992	0.0000	65.2878	43.4588	566.9240
56	64.6599	0.0000	63.7086	45.1325	584.1727
57	62.4802	0.0150	63.0282	46.1633	603.5255
58	66.7456	0.0000	64.7721	46.5094	625.0226
59	63.8412	0.0631	65.3427	48.2922	629.6307
60	64.6784	0.0000	66.1490	48.1272	641.7366
61	63.2074	0.0000	67.4389	48.7182	656.6166
62	62.4045	0.0000	68.1362	50.0063	668.0796
63	63.1083	0.0000	67.5302	52.0919	687.2265
64	64.0567	0.0000	67.9323	52.0649	700.3617
65	62.5406	0.0000	69.7002	53.2218	713.7456
66	62.6551	0.0000	69.0225	55.0849	722.9641
67	65.2517	0.0000	68.9011	55.9946	740.9658
68	67.9296	0.0667	68.6640	55.4519	752.7947
69	70.0790	0.0000	68.9340	56.2256	754.4061
70	67.1735	0.0921	70.1266	55.8957	750.7490
71	70.3618	0.0000	70.2276	56.5234	753.6241
72	72.4980	0.0000	70.1502	56.7799	753.3248
73	69.7059	0.0603	71.1136	56.6144	749.7669
74	68.4441	0.1834	70.0002	57.9502	751.5849
75	65.8755	0.0000	69.1072	58.2921	759.2088
76	67.4550	0.0000	68.6808	58.7620	774.2326
77	65.8736	0.0000	67.7731	59.0509	783.6703
